,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,Symbol,Significance,minus_log10_padj
2215,3087.6461925603144,6.625646523588348,1.0508429254300715,6.305077917212713,2.880489509309321e-10,2.908202884330879e-06,FCGR3B,Upregulated,5.5363752991638115
3067,991.7749414664918,4.072079330791792,0.6517308852152663,6.248099366116102,4.1547733953962745e-10,2.908202884330879e-06,HDC,Upregulated,5.5363752991638115
59340,123.89706673309477,7.772302602456221,1.2190917334146438,6.3754862652429,1.8238333520740123e-10,2.908202884330879e-06,HRH4,Upregulated,5.5363752991638115
10253,638.4843610602007,2.819961537624959,0.4702774056038418,5.996378954255935,2.0176587732610334e-09,1.059220414492711e-05,SPRY2,Upregulated,4.975013657609721
7850,2313.5580939245356,5.678383025866644,0.9948732107445254,5.70764491850892,1.1455007882805196e-08,3.9228322261145996e-05,IL1R2,Upregulated,4.406400265622884
107986127,221.6030515096327,4.021884588614709,0.707448137088994,5.685059268321704,1.3076730121816371e-08,3.9228322261145996e-05,LOC107986127,Upregulated,4.406400265622884
107986924,318.416559508768,4.3433357543271685,0.7639028480689672,5.685717451252439,1.302646143911768e-08,3.9228322261145996e-05,LOC107986924,Upregulated,4.406400265622884
2119,328.0166538075138,2.9890198688228073,0.5464667352251572,5.469719703233648,4.507478581277347e-08,0.00011831567841030376,ETV5,Upregulated,3.9269577017295076
112268150,87.56848275070287,3.634170803118107,0.6669831510704253,5.4486695762639785,5.074799216771202e-08,0.00011840634305886496,LOC112268150,Upregulated,3.9266250317205684
6506,148.86817638757046,3.991806821019227,0.7380927202866157,5.408272851504525,6.363542796559535e-08,0.0001336280351849537,SLC1A2,Upregulated,3.874102417243546
2920,1099.7936153020491,5.2697298353041315,0.990811955232661,5.318597345816948,1.0457026738144966e-07,0.0001996246404311874,CXCL2,Upregulated,3.6997858531146592
100506881,24.239919336398245,4.190320253499384,0.8053646488253613,5.203009915584253,1.9608640291011597e-07,0.00034313486455912713,MKLN1-AS,Upregulated,3.4645351527791983
6286,3374.001757181363,4.483215060396439,0.8738122486725552,5.1306388382711265,2.8876048201394465e-07,0.0004580764250345146,S100P,Upregulated,3.339062058673336
339855,108.14648073975216,3.5672505115335826,0.6967171205675474,5.120084473634999,3.053988261575887e-07,0.0004580764250345146,KY,Upregulated,3.339062058673336
8843,2016.6109765191352,4.438186198982925,0.8724818789322123,5.08685200936735,3.640556882078743e-07,0.0005096536931118101,HCAR3,Upregulated,3.29272482440544
124220,80.13309861029755,3.531449916885049,0.7019398311401178,5.030986646176114,4.879621384469434e-07,0.0006404198090779603,ZG16B,Upregulated,3.193535243210893
1960,292.62666071899406,3.8451720063984873,0.7733837757105799,4.971880878759797,6.630644409268547e-07,0.0008190405997072366,EGR3,Upregulated,3.086694569800266
1287,304.85249751616396,11.402748681748065,2.312565661550688,4.93077834343608,8.190262536915701e-07,0.0009554851278482933,COL4A5,Upregulated,3.019776068361649
3557,3350.529213526772,4.400779751874327,0.8985729033979297,4.897521097323206,9.705321694034543e-07,0.0010726423697527965,IL1RN,Upregulated,2.9695450522485687
105372652,44.37593670149229,5.090030764253389,1.043227770235571,4.879117398402854,1.0656162375759711e-06,0.0011188437686428909,LOC105372652,Upregulated,2.951230552571978
10720,131.30787634443476,6.057688802422052,1.2497736062384321,4.847028911623826,1.2532416969123466e-06,0.0012430324568032188,UGT2B11,Upregulated,2.905517531353119
115265,542.1141944049191,6.539317445192748,1.3585627542594516,4.813408452933269,1.4837758833814077e-06,0.0012430324568032188,DDIT4L,Upregulated,2.905517531353119
56978,374.19175136631605,2.2200947610118895,0.4626252178551323,4.7989056266861265,1.595349394623018e-06,0.0012430324568032188,PRDM8,Upregulated,2.905517531353119
340526,83.31663550072325,3.502762361804482,0.724605962869322,4.834023650501179,1.3380067980418877e-06,0.0012430324568032188,RTL5,Upregulated,2.905517531353119
10643,1458.3841073388976,2.876753526284014,0.5993333934990759,4.799921975795013,1.5872745741440156e-06,0.0012430324568032188,IGF2BP3,Upregulated,2.905517531353119
10461,569.0536396455168,3.7359338885737983,0.778556305456044,4.798540404069366,1.5982606949705654e-06,0.0012430324568032188,MERTK,Upregulated,2.905517531353119
6934,590.5419971122105,2.4574043199750686,0.5097277162417303,4.821013732770386,1.4283052315471907e-06,0.0012430324568032188,TCF7L2,Upregulated,2.905517531353119
9173,692.0796460418346,5.10999113122901,1.0701883767011144,4.774852019025567,1.7983944671778908e-06,0.0013487316220095903,IL1RL1,Upregulated,2.870074460021138
1667,81804.36208109328,6.754158177645911,1.4300325851158742,4.7230799129648,2.3229951594221802e-06,0.0016260191784235455,DEFA1,Upregulated,2.788874336334572
100506229,51.0917975254398,6.775214211328054,1.4330087953022923,4.727964150351796,2.2678221247374895e-06,0.0016260191784235455,LINC01093,Upregulated,2.788874336334572
338442,1524.2530189236627,3.9374651371471407,0.8356218832129244,4.712017739420351,2.452760223371876e-06,0.0016614681267930977,HCAR2,Upregulated,2.7795079857067577
105377267,163.61263710801316,5.3100483174052995,1.1293983531147678,4.701661112539004,2.5805353182582516e-06,0.001693395660878282,LOC105377267,Upregulated,2.7712415573900597
1178,3253.226475916199,4.876556706912898,1.0466285443866805,4.659300315347827,3.1728601745924537e-06,0.0020189966910989982,CLC,Upregulated,2.6948643928139755
101926887,186.43088085890602,3.7267401338168638,0.8023733449406723,4.644645983463496,3.4066009679654307e-06,0.00210397687430312,LOC101926887,Upregulated,2.6769590380058177
1668,94460.36690402115,6.9429084651381725,1.5015675581679475,4.6237736206882145,3.7682110602398154e-06,0.0021980184459437745,DEFA3,Upregulated,2.6579686672637655
25984,76.60325717775025,8.448272529819478,1.8347122519211474,4.6046852965489276,4.130900646851189e-06,0.0023444535860331923,KRT23,Upregulated,2.6299583607196286
9576,50.76941130153282,6.4632139658089605,1.411625007971251,4.578562953555007,4.68181264112317e-06,0.002587194306603827,SPAG6,Upregulated,2.587170953147809
109617001,79.80560727410108,2.4882169126128253,0.5450454955590006,4.565154529092844,4.991265359106162e-06,0.0026874764429710334,SNORA1B,Upregulated,2.570655333860535
100874239,154.0701151045837,2.610876598144652,0.5727230531987499,4.558707011290165,5.146951577958247e-06,0.002702020904638631,ARHGAP26-AS1,Upregulated,2.5683112953087757
728358,47400.06473097683,6.2103307741008305,1.3666449018259221,4.544216837748741,5.513987450963569e-06,0.0028241029873849748,DEFA1B,Upregulated,2.5491194697882733
80005,5645.6174496568865,1.86630489326955,0.41389196855497873,4.509159478946599,6.508497056159188e-06,0.003254093563863971,DOCK5,Upregulated,2.487569964095641
3576,124323.3626441252,5.35072860810488,1.1901105402031154,4.495992958092511,6.9246028007655185e-06,0.003381621725890119,CXCL8,Upregulated,2.4708749749602408
105370965,37.14599251436292,7.400367567718443,1.6530603846920344,4.476767839970427,7.578157916517494e-06,0.003616675865657974,LOC105370965,Upregulated,2.441690411908547
104326052,145.4635937974166,3.570118132211374,0.8020464691336006,4.451260955076511,8.536752626594411e-06,0.003964375180478192,NRIR,Upregulated,2.401825251487203
221438,24.777548546568706,6.0029950375378,1.3497214367540327,4.447580718562566,8.684282980237005e-06,0.003964375180478192,TREML5P,Upregulated,2.401825251487203
7503,6256.5018252776645,12.023124815763326,2.7129685346700936,4.431722912416816,9.348310106378148e-06,0.00408969091507989,XIST,Upregulated,2.3883095132512366
146225,186.54624560514387,3.87021289526785,0.8770382971993157,4.412820862699802,1.0203241716960787e-05,0.004372609649274685,CMTM2,Upregulated,2.3592592911739594
105372945,387.8838492154328,2.7723915010598232,0.6332609878355839,4.3779603580753506,1.1979513245002201e-05,0.0050311559726360245,LOC105372945,Upregulated,2.2983322187495534
112268067,32.437479590065315,4.289413899835628,0.9813010231101328,4.371149931384736,1.235938840529749e-05,0.005088917590643961,LOC112268067,Upregulated,2.2933745819854936
105372272,309.8109913295039,3.9504200829734124,0.9051548091234614,4.3643584977457515,1.274963450531848e-05,0.00514864567263813,LIMASI,Upregulated,2.2883069950853665
8993,1736.7615920159851,5.95219779830914,1.3702975598128568,4.343726481657048,1.4008591323476753e-05,0.005550309607579026,PGLYRP1,Upregulated,2.255682790370512
339834,38.039018341668275,4.3759286316045225,1.0089175334569054,4.3372510502528945,1.4427580145346203e-05,0.00561045843466898,IHO1,Upregulated,2.2510016507736594
116844,819.7982477174096,2.941893085079049,0.680048286871605,4.326006170256682,1.5183717083453957e-05,0.0057971431824627205,LRG1,Upregulated,2.236785972945507
2921,275.2001378950872,4.608273676734469,1.0671647501928148,4.318240155422908,1.5727824377865888e-05,0.00589765328769296,CXCL3,Upregulated,2.229320762416247
27293,63.58514347705224,2.610913179963743,0.6084102152969705,4.291369727724464,1.7757436728014778e-05,0.0065419019973961805,SMPDL3B,Upregulated,2.184295966219728
105377587,63.47641860090516,3.148683039025215,0.7372309669883677,4.2709587361580486,1.946344221808862e-05,0.006811880385627383,LOC105377587,Upregulated,2.166732986710328
3976,84.03971332929285,3.574688167940321,0.8366709292751989,4.272513891497394,1.932815083938618e-05,0.006811880385627383,LIF,Upregulated,2.166732986710328
84418,946.6851448084166,3.2585460260210573,0.7625270987820579,4.273351112669636,1.9255687800290495e-05,0.006811880385627383,CYSTM1,Upregulated,2.166732986710328
1649,2796.4646363911,2.339796706182258,0.5490219539110446,4.261754360666904,2.0282831918867307e-05,0.006982281761709747,DDIT3,Upregulated,2.1560026297288406
5724,3094.284312631308,2.58653338621094,0.6095354912584694,4.2434500095649685,2.2010942294466326e-05,0.007454964149056426,PTAFR,Upregulated,2.1275544407293507
9560,523.0148162468066,4.274653346028221,1.0120972683617826,4.2235598095698155,2.404735156960094e-05,0.007626881467667545,CCL4L2,Upregulated,2.1176530030983622
366,6217.687083808844,3.5226409284993845,0.8319488402073091,4.234203785441417,2.2936288716982317e-05,0.007626881467667545,AQP9,Upregulated,2.1176530030983622
5553,4418.221795345657,4.9766549433796285,1.1777560667311453,4.225539637585824,2.383688606762134e-05,0.007626881467667545,PRG2,Upregulated,2.1176530030983622
55509,64.20380551191012,3.758421272186479,0.8904344871853217,4.220884665043592,2.4334542517916355e-05,0.007626881467667545,BATF3,Upregulated,2.1176530030983622
9732,869.6861977589218,2.720668379578287,0.6430688350584631,4.230757628506353,2.329055214583671e-05,0.007626881467667545,DOCK4,Upregulated,2.1176530030983622
105378415,174.67062956487092,3.9361343582843062,0.9354610687275321,4.207694461981686,2.5798936540224054e-05,0.007649368417390509,LOC105378415,Upregulated,2.116374421600052
57568,1374.3389964228636,2.632796578645479,0.6251903633546826,4.21119187525263,2.540268648622962e-05,0.007649368417390509,SIPA1L2,Upregulated,2.116374421600052
80139,50.54081835340637,5.056375054479342,1.2018583861539602,4.2071304845324855,2.5863381953175207e-05,0.007649368417390509,ZNF703,Upregulated,2.116374421600052
107986482,20.50750656752768,5.498549360931729,1.3049469058721423,4.213619217907453,2.5131083830720276e-05,0.007649368417390509,LOC107986482,Upregulated,2.116374421600052
6947,2295.704115769838,4.955829435550571,1.1792296114114256,4.202599211886238,2.6386753757076335e-05,0.007695770029789527,TCN1,Upregulated,2.1137479186580888
1669,3931.7312671989025,6.180813354216928,1.4732295195706433,4.1954178029355935,2.7236905043721663e-05,0.007834900945385085,DEFA4,Upregulated,2.105966489832864
107987250,48.17285196272264,3.011593699497829,0.7200315973196967,4.182585473621473,2.8821260720457174e-05,0.008178616944174056,LOC107987250,Upregulated,2.0873201320618877
115273,20.223167927031117,5.153288603307851,1.2331655208083514,4.178910710972378,2.929086468782666e-05,0.00820105156772896,RAB42,Upregulated,2.0861304572770663
6372,24.406335858967903,6.789833310293991,1.6275846370107445,4.1717236424425455,3.023041482580616e-05,0.008352743170093466,CXCL6,Upregulated,2.0781708720630743
105377499,72.73444359611159,2.6629641486399382,0.6409990424868706,4.154396453243505,3.261472686014218e-05,0.008894501939430203,LOC105377499,Upregulated,2.0508783658502256
9383,2899.370883201251,11.00243653734048,2.658592693839841,4.138443832646479,3.496694491360042e-05,0.009413729182573015,TSIX,Upregulated,2.026238299784031
112268246,177.19553503089654,1.9933223029379064,0.48299687283742637,4.126988009731578,3.675455496026363e-05,0.00966326226415738,LOC112268246,Upregulated,2.0148762334037595
3240,2629.6617306292046,4.19181079668816,1.0174118221340376,4.120072821540219,3.787526724118663e-05,0.009699301668264366,HP,Upregulated,2.0132595330056025
285848,231.673100502348,3.3282796111160837,0.8077254936583145,4.120557834620011,3.77956173443818e-05,0.009699301668264366,PNPLA1,Upregulated,2.0132595330056025
112268100,683.7167836147265,1.7303505674070292,0.4219618699036385,4.1007273188029565,4.118536387784221e-05,0.01041989706109408,LOC112268100,Upregulated,1.98213657144145
105374412,31.073639110248834,6.32315134321171,1.5435532355321335,4.0964906150657185,4.19460484917764e-05,0.01048601276522396,LOC105374412,Upregulated,1.9793896179304253
1670,1307.6610070943605,12.231250058430891,2.9978466490531543,4.080011918653022,4.5033391708390076e-05,0.010996002238191666,DEFA5,Upregulated,1.9587651804296795
