,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
77,KEGG_2021_Human,Natural killer cell mediated cytotoxicity,2/131,0.419033790036336,0.8159229158046216,0,0,1.410637381567614,1.22697763900237,FCGR3B;ICAM1
76,KEGG_2021_Human,Intestinal immune network for IgA production,1/48,0.4094457844533229,0.8159229158046216,0,0,1.9349936268261592,1.727854066340255,HLA-DQB1
75,KEGG_2021_Human,Osteoclast differentiation,2/127,0.403878318814867,0.8159229158046216,0,0,1.456074074074074,1.320137382753078,FCGR3B;CSF1
74,KEGG_2021_Human,Carbohydrate digestion and absorption,1/47,0.4029223198366682,0.8159229158046216,0,0,1.9771588859947904,1.7972601456420982,MGAM2
65,KEGG_2021_Human,Toxoplasmosis,2/112,0.3455233418107936,0.8159229158046216,0,0,1.655892255892256,1.75970855093946,LDLR;HLA-DQB1
72,KEGG_2021_Human,Epstein-Barr virus infection,3/202,0.3783226065698148,0.8159229158046216,0,0,1.3731214210587823,1.3346849936291976,OAS3;ICAM1;HLA-DQB1
73,KEGG_2021_Human,MAPK signaling pathway,4/294,0.3990696017295863,0.8159229158046216,0,0,1.256332581372865,1.154091528434998,CSF1;DDIT3;IL1RAP;DUSP6
70,KEGG_2021_Human,Type I diabetes mellitus,1/43,0.3761033047595613,0.8159229158046216,0,0,2.165898617511521,2.1180136890083183,HLA-DQB1
69,KEGG_2021_Human,Graft-versus-host disease,1/42,0.369213272422138,0.8159229158046216,0,0,2.2188378104979205,2.210807454512192,HLA-DQB1
68,KEGG_2021_Human,Ferroptosis,1/41,0.3622475024260526,0.8159229158046216,0,0,2.2744239631336405,2.309512849025293,ACSL1
67,KEGG_2021_Human,"Glycine, serine and threonine metabolism",1/40,0.3552051661080872,0.8159229158046216,0,0,2.3328606876993976,2.414650138949604,ALAS1
71,KEGG_2021_Human,Fatty acid degradation,1/43,0.3761033047595613,0.8159229158046216,0,0,2.165898617511521,2.1180136890083183,ACSL1
107,KEGG_2021_Human,Metabolism of xenobiotics by cytochrome P450,1/76,0.5659174115319068,0.842124770009742,0,0,1.2108755760368664,0.6893600958893992,UGT2B11
108,KEGG_2021_Human,Synaptic vesicle cycle,1/78,0.575364749696097,0.842124770009742,0,0,1.1793045664013406,0.6518618868794319,SLC1A2
